acceptedDate,accountPayables,accountsPayables,accountsReceivables,accumulatedOtherComprehensiveIncomeLoss,acquisitionsNet,calendarYear,capitalExpenditure,capitalLeaseObligations,cashAndCashEquivalents,cashAndShortTermInvestments,cashAtBeginningOfPeriod,cashAtEndOfPeriod,changeInWorkingCapital,cik,commonStock,commonStockIssued,commonStockRepurchased,company_name,costAndExpenses,costOfRevenue,currency,date,debtRepayment,deferredIncomeTax,deferredRevenue,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,depreciationAndAmortization,dividendsPaid,ebitda,ebitdaratio,effectOfForexChangesOnCash,eps,epsdiluted,error,exchange,fillingDate,finalLink,freeCashFlow,generalAndAdministrativeExpenses,goodwill,goodwillAndIntangibleAssets,grossProfit,grossProfitRatio,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,intangibleAssets,interestExpense,interestIncome,inventory,investmentsInPropertyPlantAndEquipment,link,longTermDebt,longTermInvestments,matched_name,minorityInterest,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,netChangeInCash,netDebt,netIncome,netIncomeRatio,netReceivables,operatingCashFlow,operatingExpenses,operatingIncome,operatingIncomeRatio,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherExpenses,otherFinancingActivites,otherInvestingActivites,otherLiabilities,otherNonCashItems,otherNonCurrentAssets,otherNonCurrentLiabilities,otherWorkingCapital,othertotalStockholdersEquity,period,preferredStock,propertyPlantEquipmentNet,purchasesOfInvestments,reportedCurrency,researchAndDevelopmentExpenses,retainedEarnings,revenue,salesMaturitiesOfInvestments,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,shortTermDebt,shortTermInvestments,stockBasedCompensation,symbol,taxAssets,taxPayables,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInvestments,totalLiabilities,totalLiabilitiesAndStockholdersEquity,totalLiabilitiesAndTotalEquity,totalNonCurrentAssets,totalNonCurrentLiabilities,totalOtherIncomeExpensesNet,totalStockholdersEquity,weightedAverageShsOut,weightedAverageShsOutDil
2022-09-02 17:09:05,737000000.0,,,-60000000.0,,2022.0,,542000000.0,2796000000.0,3281000000.0,,,,896878.0,3000000.0,,,Intuit,,,USD,2022-07-31,,,1239000000.0,6000000.0,619000000.0,,,,,,,,,NASDAQ,2022-09-02,https://www.sec.gov/Archives/edgar/data/896878/000089687822000028/intu-20220731.htm,,,13736000000.0,20797000000.0,,,,,,7061000000.0,,,0.0,,https://www.sec.gov/Archives/edgar/data/896878/000089687822000028/0000896878-22-000028-index.htm,6957000000.0,98000000.0,Intuit Inc.,0.0,,,,,4660000000.0,,,1048000000.0,,,,,0.0,718000000.0,1155000000.0,,,,0.0,,344000000.0,81000000.0,,2917000000.0,FY,0.0,1437000000.0,,USD,,13581000000.0,,,,,499000000.0,485000000.0,,INTU,11000000.0,48000000.0,27734000000.0,5047000000.0,3630000000.0,7456000000.0,16441000000.0,583000000.0,11293000000.0,27734000000.0,27734000000.0,22687000000.0,7663000000.0,,16441000000.0,,
2022-09-02 17:09:05,,-95000000.0,-31000000.0,,-5682000000.0,2022.0,-229000000.0,,,,2819000000.0,2997000000.0,-436000000.0,896878.0,,162000000.0,-1861000000.0,Intuit,,,USD,2022-07-31,-4882000000.0,120000000.0,,,,746000000.0,-774000000.0,,,-22000000.0,,,,NASDAQ,2022-09-02,https://www.sec.gov/Archives/edgar/data/896878/000089687822000028/intu-20220731.htm,3660000000.0,,,,,,,,,,,,0.0,-229000000.0,https://www.sec.gov/Archives/edgar/data/896878/000089687822000028/0000896878-22-000028-index.htm,,,Intuit Inc.,,3889000000.0,-5421000000.0,1732000000.0,178000000.0,,2066000000.0,,,3889000000.0,,,,,,,,9087000000.0,-438000000.0,,85000000.0,,,-310000000.0,,FY,,,-830000000.0,USD,,,,1758000000.0,,,,,1308000000.0,INTU,,,,,,,,,,,,,,,,,
2023-09-01 16:08:03,,,,,,2023.0,,,,,,,,896878.0,,,,Intuit,11227000000.0,3143000000.0,USD,2023-07-31,,,,,,806000000.0,,4043000000.0,0.2813891982,,8.48,8.42,,NASDAQ,2023-09-01,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/intu-20230731.htm,,1729000000.0,,,11225000000.0,0.78125,2989000000.0,0.2080317372,605000000.0,,248000000.0,96000000.0,,,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/0000896878-23-000034-index.htm,,,Intuit Inc.,,,,,,,2384000000.0,0.1659242762,,,8084000000.0,3141000000.0,0.2186108018,,,,3555000000.0,,,,,,,,,FY,,,,USD,2539000000.0,,14368000000.0,,3333000000.0,5062000000.0,,,,INTU,,,,,,,,,,,,,,-152000000.0,,281000000.0,283000000.0
2023-09-01 16:08:03,638000000.0,,,-55000000.0,,2023.0,,480000000.0,2848000000.0,3662000000.0,,,,896878.0,3000000.0,,,Intuit,,,USD,2023-07-31,,,1341000000.0,5000000.0,4000000.0,,,,,,,,,NASDAQ,2023-09-01,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/intu-20230731.htm,,,13780000000.0,20199000000.0,,,,,,6419000000.0,,,420000000.0,,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/0000896878-23-000034-index.htm,6600000000.0,105000000.0,Intuit Inc.,0.0,,,,,3752000000.0,,,1121000000.0,,,,,0.0,354000000.0,448000000.0,,,,0.0,,417000000.0,112000000.0,,2254000000.0,FY,0.0,1438000000.0,,USD,,15067000000.0,,,,,1363000000.0,814000000.0,,INTU,64000000.0,698000000.0,27780000000.0,5557000000.0,3790000000.0,6600000000.0,17269000000.0,919000000.0,10511000000.0,27780000000.0,27780000000.0,22223000000.0,6721000000.0,,17269000000.0,,
2023-09-01 16:08:03,,-97000000.0,42000000.0,,-33000000.0,2023.0,-260000000.0,,,,2997000000.0,2852000000.0,601000000.0,896878.0,,228000000.0,-1967000000.0,Intuit,,,USD,2023-07-31,-1032000000.0,-628000000.0,,,,806000000.0,-889000000.0,,,0.0,,,,NASDAQ,2023-09-01,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/intu-20230731.htm,4786000000.0,,,,,,,,,,,,457000000.0,-260000000.0,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/0000896878-23-000034-index.htm,,,Intuit Inc.,,5046000000.0,-922000000.0,-4269000000.0,-145000000.0,,2384000000.0,,,5046000000.0,,,,,,,,-609000000.0,-303000000.0,,171000000.0,,,199000000.0,,FY,,,-1015000000.0,USD,,,,689000000.0,,,,,1712000000.0,INTU,,,,,,,,,,,,,,,,,
2024-09-04 18:26:27,,,,,,2024.0,,,,,,,,896878.0,,,,Intuit,12432000000.0,3948000000.0,USD,2024-07-31,,,,,,789000000.0,,4642000000.0,0.2850475898,,10.58,10.43,,NASDAQ,2024-09-04,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm,,1394000000.0,,,12337000000.0,0.7575683144,3550000000.0,0.2179920172,587000000.0,,251000000.0,147000000.0,,,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/0000896878-24-000039-index.htm,,,Intuit Inc.,,,,,,,2963000000.0,0.1819465766,,,8484000000.0,3853000000.0,0.2365980964,,,,921000000.0,,,,,,,,,FY,,,,USD,2754000000.0,,16285000000.0,,4312000000.0,5730000000.0,,,,INTU,,,,,,,,,,,,,,-303000000.0,,280000000.0,284000000.0
2024-09-04 18:26:27,721000000.0,,,-54000000.0,,2024.0,,458000000.0,3609000000.0,4074000000.0,,,,896878.0,3000000.0,,,Intuit,,,USD,2024-07-31,,,872000000.0,4000000.0,3000000.0,,,,,,,,,NASDAQ,2024-09-04,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm,,,13844000000.0,19664000000.0,,,,,,5820000000.0,,,0.0,,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/0000896878-24-000039-index.htm,5539000000.0,131000000.0,Intuit Inc.,0.0,,,,,2958000000.0,,,1317000000.0,,,,,0.0,4287000000.0,5328000000.0,,,,0.0,,541000000.0,659000000.0,,1498000000.0,FY,0.0,1420000000.0,,USD,,16989000000.0,,,,,570000000.0,465000000.0,,INTU,698000000.0,8000000.0,32132000000.0,9678000000.0,7491000000.0,6567000000.0,18436000000.0,596000000.0,13696000000.0,32132000000.0,32132000000.0,22454000000.0,6205000000.0,,18436000000.0,,
2024-09-04 18:26:27,,133000000.0,-100000000.0,,-83000000.0,2024.0,-250000000.0,,,,2848000000.0,3609000000.0,-429000000.0,896878.0,,282000000.0,-1988000000.0,Intuit,,,USD,2024-07-31,-89000000.0,-554000000.0,,,,789000000.0,-1034000000.0,,,-13000000.0,,,,NASDAQ,2024-09-04,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm,4634000000.0,,,,,,,,,,,,0.0,-250000000.0,https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/0000896878-24-000039-index.htm,,,Intuit Inc.,,4884000000.0,-227000000.0,-397000000.0,761000000.0,,2963000000.0,,,4884000000.0,,,,,,,,2432000000.0,-316000000.0,,3660000000.0,,,-462000000.0,,FY,,,-780000000.0,USD,,,,1202000000.0,,,,,1940000000.0,INTU,,,,,,,,,,,,,,,,,
2021-06-25 16:51:46,,,,,,2021.0,,,,,,,,1613103.0,,,,Medtronic,25222000000.0,10483000000.0,USD,2021-04-30,,,,,,2702000000.0,,7933000000.0,0.2634060497,,2.68,2.66,,NYSE,2021-06-25,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/mdt-20210430.htm,,0.0,,,19634000000.0,0.6519241624,3895000000.0,0.1293289504,265000000.0,,925000000.0,192000000.0,,,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm,,,Medtronic plc,,,,,,,3606000000.0,0.1197330411,,,14739000000.0,4484000000.0,0.1488860112,,,,2098000000.0,,,,,,,,,FY,,,,USD,2493000000.0,,30117000000.0,,0.0,10148000000.0,,,,MDT,,,,,,,,,,,,,,-589000000.0,,1344900000.0,1354000000.0
2021-06-25 16:51:46,2106000000.0,,,-3485000000.0,,2021.0,,71000000.0,3593000000.0,10817000000.0,,,,1613103.0,0.0,,,Medtronic,,,USD,2021-04-30,,,276000000.0,3808000000.0,1028000000.0,,,,,,,,,NYSE,2021-06-25,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/mdt-20210430.htm,,,41961000000.0,59701000000.0,,,,,,17740000000.0,,,4313000000.0,,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm,26378000000.0,709000000.0,Medtronic plc,174000000.0,,,,,22796000000.0,,,5462000000.0,,,,,1000000.0,1956000000.0,6116000000.0,,,,0.0,,1734000000.0,1758000000.0,,26319000000.0,FY,0.0,5221000000.0,,USD,,28594000000.0,,,,,11000000.0,7224000000.0,,MDT,3169000000.0,435000000.0,93083000000.0,22548000000.0,8509000000.0,26389000000.0,51602000000.0,7224000000.0,41481000000.0,93083000000.0,93083000000.0,70534000000.0,32972000000.0,,51428000000.0,,
2021-06-25 16:51:46,,531000000.0,-761000000.0,,-994000000.0,2021.0,-1355000000.0,,,,4140000000.0,3593000000.0,-701000000.0,1613103.0,,474000000.0,-652000000.0,Medtronic,,,USD,2021-04-30,-10531000000.0,-422000000.0,,,,2702000000.0,-3120000000.0,,,215000000.0,,,,NYSE,2021-06-25,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/mdt-20210430.htm,4885000000.0,,,,,,,,,,,,78000000.0,-1355000000.0,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm,,,Medtronic plc,,6240000000.0,-2866000000.0,-4136000000.0,-547000000.0,,3630000000.0,,,6240000000.0,,,,,,,,9694000000.0,-54000000.0,,687000000.0,,,-549000000.0,,FY,,,-11808000000.0,USD,,,,11345000000.0,,,,,344000000.0,MDT,,,,,,,,,,,,,,,,,
2022-06-23 16:13:25,,,,,,2022.0,,,,,,,,1613103.0,,,,Medtronic,25778000000.0,10145000000.0,USD,2022-04-29,,,,,,2707000000.0,,8932000000.0,0.281891056,,3.75,3.73,,NYSE,2022-06-23,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/mdt-20220429.htm,,0.0,,,21541000000.0,0.679827053,5517000000.0,0.174114751,456000000.0,,553000000.0,367000000.0,,,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/0001613103-22-000023-index.htm,,,Medtronic plc,,,,,,,5039000000.0,0.1590292243,,,15633000000.0,5752000000.0,0.1815312756,,,,2595000000.0,,,,,,,,,FY,,,,USD,2746000000.0,,31686000000.0,,0.0,10292000000.0,,,,MDT,,,,,,,,,,,,,,-235000000.0,,1342400000.0,1351400000.0
2022-06-23 16:13:25,2276000000.0,,,-2265000000.0,,2022.0,,62000000.0,3714000000.0,10573000000.0,,,,1613103.0,0.0,,,Medtronic,,,USD,2022-04-29,,,305000000.0,94000000.0,884000000.0,,,,,,,,,NYSE,2022-06-23,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/mdt-20220429.htm,,,40502000000.0,56097000000.0,,,,,,15595000000.0,,,4616000000.0,,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/0001613103-22-000023-index.htm,20372000000.0,1049000000.0,Medtronic plc,171000000.0,,,,,20400000000.0,,,5551000000.0,,,,,1000000.0,2319000000.0,6071000000.0,,,,0.0,,1959000000.0,4515000000.0,,24566000000.0,FY,0.0,5413000000.0,,USD,,30250000000.0,,,,,3742000000.0,6859000000.0,,MDT,3403000000.0,704000000.0,90981000000.0,23059000000.0,12394000000.0,24114000000.0,52722000000.0,6859000000.0,38259000000.0,90981000000.0,90981000000.0,67921000000.0,25865000000.0,,52551000000.0,,
2022-06-23 16:13:25,,213000000.0,-477000000.0,,-91000000.0,2022.0,-1368000000.0,,,,3593000000.0,3714000000.0,-889000000.0,1613103.0,,429000000.0,-2544000000.0,Medtronic,,,USD,2022-04-29,-1000000.0,-604000000.0,,,,2707000000.0,-3383000000.0,,,-231000000.0,,,,NYSE,2022-06-23,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/mdt-20220429.htm,5978000000.0,,,,,,,,,,,,-560000000.0,-1368000000.0,https://www.sec.gov/Archives/edgar/data/1613103/000161310322000023/0001613103-22-000023-index.htm,,,Medtronic plc,,7346000000.0,-1659000000.0,-5336000000.0,121000000.0,,5062000000.0,,,7346000000.0,,,,,,,,163000000.0,-10000000.0,,711000000.0,,,-65000000.0,,FY,,,-9882000000.0,USD,,,,9692000000.0,,,,,359000000.0,MDT,,,,,,,,,,,,,,,,,
2023-06-22 16:32:12,,,,,,2023.0,,,,,,,,1613103.0,,,,Medtronic,25397000000.0,10719000000.0,USD,2023-04-28,,,,,,2697000000.0,,9042000000.0,0.289557114,,2.83,2.82,,NYSE,2023-06-22,https://www.sec.gov/Archives/edgar/data/1613103/000161310323000040/mdt-20230428.htm,,0.0,,,20508000000.0,0.6567393602,5364000000.0,0.171774426,1580000000.0,,636000000.0,386000000.0,,,https://www.sec.gov/Archives/edgar/data/1613103/000161310323000040/0001613103-23-000040-index.htm,,,Medtronic plc,,,,,,,3758000000.0,0.1203445736,,,14678000000.0,5485000000.0,0.1756492779,,,,1567000000.0,,,,,,,,,FY,,,,USD,2696000000.0,,31227000000.0,,0.0,10415000000.0,,,,MDT,,,,,,,,,,,,,,-121000000.0,,1329800000.0,1332800000.0
